[chain v4b] starting at Mon May  4 13:21:27 CDT 2026 — mkdir-based seqan3 lock (Git Bash lacks flock)
[13:21:39] [chain v4] ===== chain v4 launch =====
[13:21:39] [chain v4] [E0] strand start
[13:21:39] [chain v4] [main] strands launched: E0=49590 E1S=49592 E2=49593
[13:21:39] [chain v4] [E1S] strand start
[13:21:39] [chain v4] [E2] strand start
[13:21:39] [chain v4] [E0] nuking C:/Users/miaot/Github/BioTest/compares/ApplicationStudy/E0_baseline/results_4big_runs/run_a/seqan3_sam
[13:21:39] [chain v4] [E1S] nuking C:/Users/miaot/Github/BioTest/compares/ApplicationStudy/E1S_strict/results_4big_runs/run_b/htsjdk_sam
[13:21:39] [chain v4] [E2] nuking C:/Users/miaot/Github/BioTest/compares/ApplicationStudy/E2_no_phase_d/results_4rep/biopython_sam
[13:21:41] [chain v4] [E2] nuking C:/Users/miaot/Github/BioTest/compares/ApplicationStudy/E2_no_phase_d/results_4rep/seqan3_sam
[13:21:41] [chain v4] [E2] nuking C:/Users/miaot/Github/BioTest/compares/ApplicationStudy/E2_no_phase_d/results_4rep/vcfpy_vcf
[13:21:41] [chain v4] [E1S] launching E1S/b cells=htsjdk_sam (has_seqan3=0)
[13:21:43] [chain v4] [E2] launching E2/reps cells=biopython_sam seqan3_sam vcfpy_vcf (has_seqan3=1)
[13:21:43] [chain v4] [E2] acquired SEQAN3_LOCK
[13:21:44] [chain v4] [E0] launching E0/a cells=seqan3_sam (has_seqan3=1)
[13:22:59] [chain v4] [E0] still waiting for SEQAN3_LOCK (60s)
[13:24:14] [chain v4] [E0] still waiting for SEQAN3_LOCK (120s)
[13:25:31] [chain v4] [E0] still waiting for SEQAN3_LOCK (180s)
[13:26:35] [chain v4] [E0] still waiting for SEQAN3_LOCK (240s)
[13:27:36] [chain v4] [E0] still waiting for SEQAN3_LOCK (300s)
[13:28:38] [chain v4] [E0] still waiting for SEQAN3_LOCK (360s)
[13:29:39] [chain v4] [E0] still waiting for SEQAN3_LOCK (420s)
[13:30:40] [chain v4] [E0] still waiting for SEQAN3_LOCK (480s)
[13:31:41] [chain v4] [E0] still waiting for SEQAN3_LOCK (540s)
[13:32:42] [chain v4] [E0] still waiting for SEQAN3_LOCK (600s)
[13:33:43] [chain v4] [E0] still waiting for SEQAN3_LOCK (660s)
[13:34:43] [chain v4] [E0] still waiting for SEQAN3_LOCK (720s)
[13:35:44] [chain v4] [E0] still waiting for SEQAN3_LOCK (780s)
[13:36:45] [chain v4] [E0] still waiting for SEQAN3_LOCK (840s)
[13:37:46] [chain v4] [E0] still waiting for SEQAN3_LOCK (900s)
[13:38:47] [chain v4] [E0] still waiting for SEQAN3_LOCK (960s)
[13:39:47] [chain v4] [E0] still waiting for SEQAN3_LOCK (1020s)
[13:40:48] [chain v4] [E0] still waiting for SEQAN3_LOCK (1080s)
[13:41:49] [chain v4] [E0] still waiting for SEQAN3_LOCK (1140s)
[13:42:50] [chain v4] [E0] still waiting for SEQAN3_LOCK (1200s)
[13:43:51] [chain v4] [E0] still waiting for SEQAN3_LOCK (1260s)
[13:44:52] [chain v4] [E0] still waiting for SEQAN3_LOCK (1320s)
[13:45:52] [chain v4] [E0] still waiting for SEQAN3_LOCK (1380s)
[13:46:53] [chain v4] [E0] still waiting for SEQAN3_LOCK (1440s)
[13:47:54] [chain v4] [E0] still waiting for SEQAN3_LOCK (1500s)
[13:48:54] [chain v4] [E0] still waiting for SEQAN3_LOCK (1560s)
[13:49:55] [chain v4] [E0] still waiting for SEQAN3_LOCK (1620s)
[13:50:56] [chain v4] [E0] still waiting for SEQAN3_LOCK (1680s)
[13:51:57] [chain v4] [E0] still waiting for SEQAN3_LOCK (1740s)
[13:52:57] [chain v4] [E0] still waiting for SEQAN3_LOCK (1800s)
[13:53:58] [chain v4] [E0] still waiting for SEQAN3_LOCK (1860s)
[13:54:59] [chain v4] [E0] still waiting for SEQAN3_LOCK (1920s)
[13:56:00] [chain v4] [E0] still waiting for SEQAN3_LOCK (1980s)
[13:57:01] [chain v4] [E0] still waiting for SEQAN3_LOCK (2040s)
[13:58:01] [chain v4] [E0] still waiting for SEQAN3_LOCK (2100s)
[13:59:02] [chain v4] [E0] still waiting for SEQAN3_LOCK (2160s)
[14:00:03] [chain v4] [E0] still waiting for SEQAN3_LOCK (2220s)
[14:01:04] [chain v4] [E0] still waiting for SEQAN3_LOCK (2280s)
[14:02:04] [chain v4] [E0] still waiting for SEQAN3_LOCK (2340s)
[14:03:05] [chain v4] [E0] still waiting for SEQAN3_LOCK (2400s)
[14:04:06] [chain v4] [E0] still waiting for SEQAN3_LOCK (2460s)
[14:05:07] [chain v4] [E0] still waiting for SEQAN3_LOCK (2520s)
[14:06:07] [chain v4] [E0] still waiting for SEQAN3_LOCK (2580s)
[14:07:08] [chain v4] [E0] still waiting for SEQAN3_LOCK (2640s)
[14:08:09] [chain v4] [E0] still waiting for SEQAN3_LOCK (2700s)
[14:09:10] [chain v4] [E0] still waiting for SEQAN3_LOCK (2760s)
[14:10:11] [chain v4] [E0] still waiting for SEQAN3_LOCK (2820s)
[14:11:12] [chain v4] [E0] still waiting for SEQAN3_LOCK (2880s)
[14:12:12] [chain v4] [E0] still waiting for SEQAN3_LOCK (2940s)
[14:13:13] [chain v4] [E0] still waiting for SEQAN3_LOCK (3000s)
[14:14:14] [chain v4] [E0] still waiting for SEQAN3_LOCK (3060s)
[14:15:14] [chain v4] [E0] still waiting for SEQAN3_LOCK (3120s)
[14:16:15] [chain v4] [E0] still waiting for SEQAN3_LOCK (3180s)
[14:17:16] [chain v4] [E0] still waiting for SEQAN3_LOCK (3240s)
[14:18:16] [chain v4] [E0] still waiting for SEQAN3_LOCK (3300s)
[14:19:17] [chain v4] [E0] still waiting for SEQAN3_LOCK (3360s)
[14:20:19] [chain v4] [E0] still waiting for SEQAN3_LOCK (3420s)
[14:21:21] [chain v4] [E0] still waiting for SEQAN3_LOCK (3480s)
[14:22:22] [chain v4] [E0] still waiting for SEQAN3_LOCK (3540s)
[14:23:23] [chain v4] [E0] still waiting for SEQAN3_LOCK (3600s)
[14:24:23] [chain v4] [E0] still waiting for SEQAN3_LOCK (3660s)
[14:25:24] [chain v4] [E0] still waiting for SEQAN3_LOCK (3720s)
[14:26:25] [chain v4] [E0] still waiting for SEQAN3_LOCK (3780s)
[14:27:26] [chain v4] [E0] still waiting for SEQAN3_LOCK (3840s)
[14:28:26] [chain v4] [E0] still waiting for SEQAN3_LOCK (3900s)
[14:29:28] [chain v4] [E0] still waiting for SEQAN3_LOCK (3960s)
[14:30:30] [chain v4] [E0] still waiting for SEQAN3_LOCK (4020s)
[14:31:31] [chain v4] [E0] still waiting for SEQAN3_LOCK (4080s)
[14:32:32] [chain v4] [E0] still waiting for SEQAN3_LOCK (4140s)
[14:33:32] [chain v4] [E0] still waiting for SEQAN3_LOCK (4200s)
[14:34:33] [chain v4] [E0] still waiting for SEQAN3_LOCK (4260s)
[14:35:33] [chain v4] [E0] still waiting for SEQAN3_LOCK (4320s)
[14:36:34] [chain v4] [E0] still waiting for SEQAN3_LOCK (4380s)
[14:37:35] [chain v4] [E0] still waiting for SEQAN3_LOCK (4440s)
