[02:42:56] [chain e1m+e3m] ===== chain e1m+e3m launch =====
[02:42:56] [chain e1m+e3m] [main] strands launched: E1M=115106 E3M=115107
[02:42:56] [chain e1m+e3m] [E1M] strand start
[02:42:56] [chain e1m+e3m] [E3M] strand start
[02:42:56] [chain e1m+e3m] [E1M] launching run_a (all 6 cells)
[02:42:56] [chain e1m+e3m] [E3M] nuking C:/Users/miaot/Github/BioTest/compares/ApplicationStudy/E3M_medium/results_4rep
[02:42:57] [chain e1m+e3m] [E1M] acquired SEQAN3_LOCK
[02:42:57] [chain e1m+e3m] [E3M] launching --reps 4 cumulative=false (all 6 cells)
[02:43:57] [chain e1m+e3m] [E3M] still waiting for SEQAN3_LOCK (60s)
[02:44:58] [chain e1m+e3m] [E3M] still waiting for SEQAN3_LOCK (120s)
[02:45:59] [chain e1m+e3m] [E3M] still waiting for SEQAN3_LOCK (180s)
[02:46:59] [chain e1m+e3m] [E3M] still waiting for SEQAN3_LOCK (240s)
[02:48:01] [chain e1m+e3m] [E3M] still waiting for SEQAN3_LOCK (300s)
[02:51:15] [chain e1m+e3m] ===== chain e1m+e3m TRUE-PARALLEL launch =====
[02:51:15] [chain e1m+e3m] [main] strands launched: E1M=115314 E3M=115315
[02:51:15] [chain e1m+e3m] [E1M] strand start
[02:51:15] [chain e1m+e3m] [E3M] strand start
[02:51:15] [chain e1m+e3m] [E1M/run_a] launching non-seqan3 (5 cells, no lock) + seqan3 (locked) in parallel
[02:51:15] [chain e1m+e3m] [E3M] launching non-seqan3 (5 cells, no lock) + seqan3 (locked) in parallel
[02:51:15] [chain e1m+e3m] [E1M/run_a/seqan3] acquired SEQAN3_LOCK
[02:52:16] [chain e1m+e3m] [E3M/seqan3] still waiting for SEQAN3_LOCK (60s)
[02:53:17] [chain e1m+e3m] [E3M/seqan3] still waiting for SEQAN3_LOCK (120s)
[02:54:17] [chain e1m+e3m] [E3M/seqan3] still waiting for SEQAN3_LOCK (180s)
[02:55:18] [chain e1m+e3m] [E3M/seqan3] still waiting for SEQAN3_LOCK (240s)
[02:56:19] [chain e1m+e3m] [E3M/seqan3] still waiting for SEQAN3_LOCK (300s)
[02:57:20] [chain e1m+e3m] [E3M/seqan3] still waiting for SEQAN3_LOCK (360s)
[02:58:20] [chain e1m+e3m] [E3M/seqan3] still waiting for SEQAN3_LOCK (420s)
[02:59:21] [chain e1m+e3m] [E3M/seqan3] still waiting for SEQAN3_LOCK (480s)
[03:00:22] [chain e1m+e3m] [E3M/seqan3] still waiting for SEQAN3_LOCK (540s)
[03:01:23] [chain e1m+e3m] [E3M/seqan3] still waiting for SEQAN3_LOCK (600s)
[03:02:24] [chain e1m+e3m] [E3M/seqan3] still waiting for SEQAN3_LOCK (660s)
[03:03:28] [chain e1m+e3m] [E3M/seqan3] still waiting for SEQAN3_LOCK (720s)
[03:04:30] [chain e1m+e3m] [E3M/seqan3] still waiting for SEQAN3_LOCK (780s)
[03:05:31] [chain e1m+e3m] [E3M/seqan3] still waiting for SEQAN3_LOCK (840s)
[03:06:32] [chain e1m+e3m] [E3M/seqan3] still waiting for SEQAN3_LOCK (900s)
[03:07:33] [chain e1m+e3m] [E3M/seqan3] still waiting for SEQAN3_LOCK (960s)
[03:08:34] [chain e1m+e3m] [E3M/seqan3] still waiting for SEQAN3_LOCK (1020s)
[03:09:35] [chain e1m+e3m] [E3M/seqan3] still waiting for SEQAN3_LOCK (1080s)
[03:10:36] [chain e1m+e3m] [E3M/seqan3] still waiting for SEQAN3_LOCK (1140s)
[03:11:38] [chain e1m+e3m] [E3M/seqan3] still waiting for SEQAN3_LOCK (1200s)
[03:12:40] [chain e1m+e3m] [E3M/seqan3] still waiting for SEQAN3_LOCK (1260s)
[03:13:42] [chain e1m+e3m] [E3M/seqan3] still waiting for SEQAN3_LOCK (1320s)
[03:14:44] [chain e1m+e3m] [E3M/seqan3] still waiting for SEQAN3_LOCK (1380s)
[03:15:45] [chain e1m+e3m] [E3M/seqan3] still waiting for SEQAN3_LOCK (1440s)
[03:16:46] [chain e1m+e3m] [E3M/seqan3] still waiting for SEQAN3_LOCK (1500s)
[03:17:47] [chain e1m+e3m] [E3M/seqan3] still waiting for SEQAN3_LOCK (1560s)
[03:18:48] [chain e1m+e3m] [E3M/seqan3] still waiting for SEQAN3_LOCK (1620s)
[03:19:50] [chain e1m+e3m] [E3M/seqan3] still waiting for SEQAN3_LOCK (1680s)
[03:20:51] [chain e1m+e3m] [E3M/seqan3] still waiting for SEQAN3_LOCK (1740s)
[03:21:52] [chain e1m+e3m] [E3M/seqan3] still waiting for SEQAN3_LOCK (1800s)
[03:22:53] [chain e1m+e3m] [E3M/seqan3] still waiting for SEQAN3_LOCK (1860s)
[03:23:54] [chain e1m+e3m] [E3M/seqan3] still waiting for SEQAN3_LOCK (1920s)
[03:24:55] [chain e1m+e3m] [E3M/seqan3] still waiting for SEQAN3_LOCK (1980s)
[03:25:56] [chain e1m+e3m] [E3M/seqan3] still waiting for SEQAN3_LOCK (2040s)
[03:26:57] [chain e1m+e3m] [E3M/seqan3] still waiting for SEQAN3_LOCK (2100s)
[03:27:59] [chain e1m+e3m] [E3M/seqan3] still waiting for SEQAN3_LOCK (2160s)
[03:29:01] [chain e1m+e3m] [E3M/seqan3] still waiting for SEQAN3_LOCK (2220s)
[03:30:04] [chain e1m+e3m] [E3M/seqan3] still waiting for SEQAN3_LOCK (2280s)
[03:31:05] [chain e1m+e3m] [E3M/seqan3] still waiting for SEQAN3_LOCK (2340s)
[03:32:06] [chain e1m+e3m] [E3M/seqan3] still waiting for SEQAN3_LOCK (2400s)
[03:33:07] [chain e1m+e3m] [E3M/seqan3] still waiting for SEQAN3_LOCK (2460s)
[03:34:08] [chain e1m+e3m] [E3M/seqan3] still waiting for SEQAN3_LOCK (2520s)
[03:35:09] [chain e1m+e3m] [E3M/seqan3] still waiting for SEQAN3_LOCK (2580s)
[03:36:11] [chain e1m+e3m] [E3M/seqan3] still waiting for SEQAN3_LOCK (2640s)
[03:37:12] [chain e1m+e3m] [E3M/seqan3] still waiting for SEQAN3_LOCK (2700s)
[03:38:13] [chain e1m+e3m] [E3M/seqan3] still waiting for SEQAN3_LOCK (2760s)
[03:39:15] [chain e1m+e3m] [E3M/seqan3] still waiting for SEQAN3_LOCK (2820s)
[03:40:16] [chain e1m+e3m] [E3M/seqan3] still waiting for SEQAN3_LOCK (2880s)
[03:41:17] [chain e1m+e3m] [E3M/seqan3] still waiting for SEQAN3_LOCK (2940s)
[03:42:19] [chain e1m+e3m] [E3M/seqan3] still waiting for SEQAN3_LOCK (3000s)
[03:43:20] [chain e1m+e3m] [E3M/seqan3] still waiting for SEQAN3_LOCK (3060s)
[03:44:27] [chain e1m+e3m] [E3M/seqan3] still waiting for SEQAN3_LOCK (3120s)
[03:45:30] [chain e1m+e3m] [E3M/seqan3] still waiting for SEQAN3_LOCK (3180s)
[03:46:31] [chain e1m+e3m] [E3M/seqan3] still waiting for SEQAN3_LOCK (3240s)
[03:47:32] [chain e1m+e3m] [E3M/seqan3] still waiting for SEQAN3_LOCK (3300s)
[03:48:33] [chain e1m+e3m] [E3M/seqan3] still waiting for SEQAN3_LOCK (3360s)
[03:49:35] [chain e1m+e3m] [E3M/seqan3] still waiting for SEQAN3_LOCK (3420s)
[03:50:36] [chain e1m+e3m] [E3M/seqan3] still waiting for SEQAN3_LOCK (3480s)
[03:51:39] [chain e1m+e3m] [E3M/seqan3] still waiting for SEQAN3_LOCK (3540s)
[03:52:41] [chain e1m+e3m] [E3M/seqan3] still waiting for SEQAN3_LOCK (3600s)
[03:53:44] [chain e1m+e3m] [E3M/seqan3] still waiting for SEQAN3_LOCK (3660s)
[03:54:47] [chain e1m+e3m] [E3M/seqan3] still waiting for SEQAN3_LOCK (3720s)
[03:55:49] [chain e1m+e3m] [E3M/seqan3] still waiting for SEQAN3_LOCK (3780s)
[03:56:50] [chain e1m+e3m] [E3M/seqan3] still waiting for SEQAN3_LOCK (3840s)
[03:57:51] [chain e1m+e3m] [E3M/seqan3] still waiting for SEQAN3_LOCK (3900s)
[03:58:53] [chain e1m+e3m] [E3M/seqan3] still waiting for SEQAN3_LOCK (3960s)
[03:59:54] [chain e1m+e3m] [E3M/seqan3] still waiting for SEQAN3_LOCK (4020s)
[04:00:55] [chain e1m+e3m] [E3M/seqan3] still waiting for SEQAN3_LOCK (4080s)
[04:01:56] [chain e1m+e3m] [E3M/seqan3] still waiting for SEQAN3_LOCK (4140s)
[04:02:57] [chain e1m+e3m] [E3M/seqan3] still waiting for SEQAN3_LOCK (4200s)
