TARGET_CLASS,criterion,Coverage,Total_Goals,Covered_Goals
htsjdk.variant.vcf.VCF3Parser,BRANCH;LINE,0.9782608695652174,45,44
htsjdk.variant.vcf.VCF4Parser,BRANCH;LINE,0.9232456140350878,105,88
htsjdk.variant.vcf.VCFAltHeaderLine,BRANCH;LINE,0.0,4,0
htsjdk.variant.vcf.VCFCompoundHeaderLine,BRANCH;LINE,0.9524600537889574,276,262
htsjdk.variant.vcf.VCFConstants,BRANCH;LINE,1.0,2,2
htsjdk.variant.vcf.VCFContigHeaderLine,BRANCH;LINE,0.984375,53,51
htsjdk.variant.vcf.VCFEncoder,BRANCH;LINE,0.620539983815199,335,209
htsjdk.variant.vcf.VCFFilterHeaderLine,BRANCH;LINE,0.9375,13,11
htsjdk.variant.vcf.VCFFormatHeaderLine,BRANCH;LINE,1.0,16,16
htsjdk.variant.vcf.VCFHeader,BRANCH;LINE,0.8982570806100219,278,243
htsjdk.variant.vcf.VCFHeaderLine,BRANCH;LINE,0.9811320754716981,100,98
htsjdk.variant.vcf.VCFHeaderLineTranslator,BRANCH;LINE,1.0,6,6
htsjdk.variant.vcf.VCFHeaderVersion,BRANCH;LINE,0.7885714285714285,46,36
htsjdk.variant.vcf.VCFInfoHeaderLine,BRANCH;LINE,1.0,19,19
htsjdk.variant.vcf.VCFIteratorBuilder,BRANCH;LINE,0.3246753246753247,57,17
htsjdk.variant.vcf.VCFLineParser,BRANCH;LINE,1.0,2,2
htsjdk.variant.vcf.VCFMetaHeaderLine,BRANCH;LINE,0.0,3,0
htsjdk.variant.vcf.VCFPassThruTextTransformer,BRANCH;LINE,1.0,6,6
htsjdk.variant.vcf.VCFPedigreeHeaderLine,BRANCH;LINE,0.5,3,0
htsjdk.variant.vcf.VCFPercentEncodedTextTransformer,BRANCH;LINE,0.9352226720647774,32,28
htsjdk.variant.vcf.VCFRecordCodec,BRANCH;LINE,0.17763157894736842,27,2
htsjdk.variant.vcf.VCFSampleHeaderLine,BRANCH;LINE,0.0,3,0
htsjdk.variant.vcf.VCFSimpleHeaderLine,BRANCH;LINE,1.0,77,77
htsjdk.variant.variantcontext.Allele,BRANCH;LINE,1.0,340,340
htsjdk.variant.variantcontext.CommonInfo,BRANCH;LINE,0.8846994535519126,227,200
htsjdk.variant.variantcontext.FastGenotype,BRANCH;LINE,0.6863636363636363,37,26
htsjdk.variant.variantcontext.Genotype,BRANCH;LINE,0.9886363636363635,345,340
htsjdk.variant.variantcontext.GenotypeBuilder,BRANCH;LINE,1.0,187,187
htsjdk.variant.variantcontext.GenotypeLikelihoods,BRANCH;LINE,0.8942102770542268,267,240
htsjdk.variant.variantcontext.GenotypeNumLikelihoodsCache,BRANCH;LINE,0.9103009259259259,59,54
htsjdk.variant.variantcontext.GenotypesContext,BRANCH;LINE,0.9428879310344828,286,268
htsjdk.variant.variantcontext.StructuralVariantType,BRANCH;LINE,1.0,5,5
htsjdk.variant.variantcontext.VariantContextBuilder,BRANCH;LINE,0.9976415094339622,282,280
htsjdk.variant.variantcontext.VariantContextComparator,BRANCH;LINE,0.6603448275862069,69,43
htsjdk.variant.variantcontext.writer.VCFWriter,BRANCH;LINE,0.8393939393939394,128,99
